Month;Severity;Location;Year;Accidents
11;Accidents with Serious Injuries;Countryside;2012;64
11;Accidents with Serious Injuries;Motorway;2012;17
11;Fatal Accidents;City;2012;13
11;Fatal Accidents;Countryside;2012;6
11;Fatal Accidents;Motorway;2012;4
12;Accidents with Slight Injuries;City;2012;554
12;Accidents with Slight Injuries;Countryside;2012;226
12;Accidents with Slight Injuries;Motorway;2012;117
12;Accidents with Serious Injuries;City;2012;128
12;Accidents with Serious Injuries;Countryside;2012;58
12;Accidents with Serious Injuries;Motorway;2012;10
12;Fatal Accidents;City;2012;14
12;Fatal Accidents;Countryside;2012;15
12;Fatal Accidents;Motorway;2012;3
